true,pred
1.8202147,1.2999314
1.7046913,1.1923184
1.4624784,1.1519892
2.0561025,1.3442001
1.8991388,1.2848458
2.2409594,1.4776672
1.9607619,1.3668717
2.184462,1.4441918
1.685306,1.2240433
1.6935095,1.2497183
1.983044,1.3305601
1.7232164,1.2356052
1.6653122,1.2329174
2.046865,1.390281
1.984512,1.3394343
1.6999147,1.2247148
1.7400016,1.2662466
1.6151619,1.2044699
1.8129178,1.291559
1.9036059,1.2969288
1.7310234,1.2839705
1.8470964,1.2983382
1.3156708,1.064396
1.9095811,1.3006448
2.159755,1.4183565
1.4996316,1.1070276
1.490232,1.147111
2.0565586,1.3875262
1.5714982,1.1502283
1.9215432,1.3348789
1.7604373,1.2906709
1.6090437,1.1973675
2.1577213,1.4001174
2.0857103,1.3535793
1.7811441,1.2884775
1.559872,1.1799736
1.9830025,1.3325796
1.8465931,1.3235217
1.6767095,1.2607242
1.953494,1.3301953
1.8184649,1.2731332
1.7902076,1.3029939
1.5253236,1.1611179
2.0184,1.3233185
1.8151771,1.2582434
1.8320612,1.2503622
1.7277299,1.2423584
1.6825932,1.239271
2.0970821,1.4204296
1.6041253,1.1857582
1.727488,1.227376
1.9747231,1.3398523
1.5225914,1.1902128
1.9856359,1.3552054
1.6508579,1.193905
1.8998764,1.2764636
2.005072,1.3333746
1.9380502,1.3149507
2.2303357,1.4314598
1.7822549,1.2775481
1.9709607,1.3620751
1.946678,1.2912124
1.7704947,1.2600356
2.0502374,1.4109589
1.2892201,1.6456507
1.508527,1.8144451
1.487747,1.860874
1.5087818,1.805468
1.359445,1.7171758
1.5664378,1.8449774
1.6082904,1.8864945
1.5177684,1.8745686
1.5612411,1.825491
1.5197659,1.8353982
1.5863968,1.8589542
1.5638129,1.8946849
1.3527427,1.7165804
1.577297,1.8538576
1.5861166,1.8975887
1.5155925,1.7785679
1.6531639,1.9535854
1.4220912,1.7873546
1.3945808,1.702925
1.5515108,1.8484129
1.3839335,1.7718198
1.4695199,1.7509987
1.6490828,1.972166
1.4016979,1.7432059
1.7407601,2.0470634
1.5334083,1.8545918
1.6671665,1.9652349
1.3725284,1.6910951
1.5553427,1.856358
1.7223547,2.034027
1.6424862,1.953397
1.44466,1.7978632
1.5356156,1.8929006
1.5701399,1.9063443
1.3154773,1.7036115
1.5513403,1.8717188
1.4166528,1.7367978
1.5891348,1.8423979
1.357575,1.7037696
1.4400873,1.7732937
1.7073665,1.9884375
1.5308379,1.8851488
1.372066,1.7281466
1.4281191,1.8013961
1.496871,1.8192968
1.6096685,1.8942164
1.6470215,1.968699
1.7044598,1.9938565
1.3274312,1.721662
1.4406787,1.7884685
1.4707414,1.8100513
1.4919498,1.8489321
1.5423572,1.8958334
1.634684,1.9255095
1.6496059,1.9475253
